timestamp,symbol,id,name,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,infinite_supply,minted_market_cap,platform,cmc_rank,is_fiat,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,aud_price,aud_volume_24h,aud_cex_volume_24h,aud_dex_volume_24h,aud_volume_change_24h,aud_percent_change_1h,aud_percent_change_24h,aud_percent_change_7d,aud_percent_change_30d,aud_percent_change_60d,aud_percent_change_90d,aud_market_cap,aud_market_cap_dominance,aud_fully_diluted_market_cap,aud_tvl,aud_last_updated,global_active_cryptocurrencies,global_total_cryptocurrencies,global_active_market_pairs,global_active_exchanges,global_total_exchanges,global_eth_dominance,global_btc_dominance,global_eth_dominance_yesterday,global_btc_dominance_yesterday,global_eth_dominance_24h_percentage_change,global_btc_dominance_24h_percentage_change,global_defi_volume_24h,global_defi_volume_24h_reported,global_defi_market_cap,global_defi_24h_percentage_change,global_stablecoin_volume_24h,global_stablecoin_volume_24h_reported,global_stablecoin_market_cap,global_stablecoin_24h_percentage_change,global_derivatives_volume_24h,global_derivatives_volume_24h_reported,global_derivatives_24h_percentage_change,global_total_crypto_dex_currencies,global_today_incremental_crypto_number,global_past_24h_incremental_crypto_number,global_past_7d_incremental_crypto_number,global_past_30d_incremental_crypto_number,global_today_change_percent,global_last_updated
2026-03-04 15:17:25.859452,LINK,1975,Chainlink,chainlink,2215,2017-09-20T00:00:00.000Z,platform|cosmos-ecosystem|defi|privacy|interoperability|iot|oracles|smart-contracts|ethereum-ecosystem|tron-ecosystem|polkadot|tokenized-stock|polkadot-ecosystem|heco-ecosystem|avalanche-ecosystem|solana-ecosystem|framework-ventures-portfolio|hedera-hashgraph-ecosystem|polygon-ecosystem|fantom-ecosystem|cardano-ecosystem|terra-ecosystem|web3|near-protocol-ecosystem|arbitrum-ecosystem|celo-ecosystem|defi-2|cross-chain|cronos-ecosystem|cardano|injective-ecosystem|bnb-chain-ecosystem|oasis-ecosystem|moonbeam-ecosystem|xdc-ecosystem|metisdao-ecosystem|velas-ecosystem|doge-chain-ecosystem|aptos-ecosystem|sui-ecosystem|optimism-ecosystem|bitcoin-ecosystem|real-world-assets-protocols|zksync-era-ecosystem|kadena-ecosystem|base-ecosystem|linea-ecosystem|sei-ecosystem|toncoin-ecosystem|paal-ecosystem|blast-ecosystem|atomicals-ecosystem|move-vm|eigenlayer-ecosystem|hyperliquid-ecosystem|gnosis-chain-ecosystem|ronin-ecosystem|astar-ecosystem|core-ecosystem|starknet-ecosystem|mantle-ecosystem|opbnb-ecosystem|scroll-ecosystem|merlin-ecosystem|b²-network-ecosystem|mode-ecosystem|world-chain-mainnet-ecosystem|made-in-america|btcfi|world-liberty-financial-portfolio|corn-ecosystem|bonk-fun-ecosystem|sonic-ecosystem|binance-ecosystem|binance-listing|bittensor-ecosystem|tokenized-assets|xstocks-ecosystem|hyperevm-ecosystem|etherlink-ecosystem|bera-chain-ecosystem|abstract-chain-ecosystem|unichain-ecosystem|soneium-ecosystem|fraxtal-ecosystem|monad-ecosystem|hashkey-chain-ecosystem|wlfi-ecosystem|plasma-ecosystem|x402-ecosystem|iso-20022,1000000000.0,708099970.4525867,1000000000.0,1,False,8754464713.73,,15,0,,,,2026-03-04T04:16:00.000Z,12.48463707466968,1085378595.4006925,1073778146.5277517,11600448.87294088,-10.4389,-0.74731487,-1.48540711,2.96362345,-5.14861682,-33.98260986,-40.00924973,8840371143.684868,0.2674,12484637074.673779,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,SHIB,5994,Shiba Inu,shiba-inu,1045,2020-08-01T00:00:00.000Z,memes|ethereum-ecosystem|doggone-doggerel|bnb-chain-ecosystem|base-ecosystem|animal-memes|binance-ecosystem|binance-listing|etherlink-ecosystem,589552695333683.0,589243742059209.9,589500284160680.1,1,False,3212370203.3,,27,0,589551575078137.0,3212649703.4489613,,2026-03-04T04:16:00.000Z,7.771196590705234e-06,225885557.31944415,225713229.93626198,172327.38318209778,0.7409,-0.49391541,0.2852716,-8.71920622,-17.41392215,-32.8447069,-38.72488793,4579128959.384927,0.1385,4581529896.018927,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,DOT,6636,Polkadot,polkadot-new,1029,2020-08-19T00:00:00.000Z,defi|ethereum-ecosystem|substrate|polkadot|polkadot-ecosystem|three-arrows-capital-portfolio|polychain-capital-portfolio|heco-ecosystem|arrington-xrp-capital-portfolio|blockchain-capital-portfolio|boostvc-portfolio|cms-holdings-portfolio|coinfund-portfolio|fabric-ventures-portfolio|fenbushi-capital-portfolio|hashkey-capital-portfolio|kenetic-capital-portfolio|1confirmation-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|exnetwork-capital-portfolio|web3|arbitrum-ecosystem|spartan-group|optimism-ecosystem|osmosis-ecosystem|base-ecosystem|gnosis-chain-ecosystem|binance-ecosystem|binance-listing,2100000000.0,1671149579.0101995,1671149579.0101995,1,False,2548489812.84,,32,0,,,,2026-03-04T04:15:00.000Z,2.174772854484919,269692017.18602264,269219294.1693931,472723.01662954845,-28.5633,-0.67302552,2.0386452,20.03238059,2.64409991,-29.09345909,-34.85214054,3634370740.215283,0.1099,4567022994.4190855,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,POL,28321,Polygon (prev. MATIC),polygon-ecosystem-token,632,2023-10-30T14:43:57.000Z,ethereum-ecosystem|layer-2|polygon-ecosystem|binance-ecosystem|binance-listing,,10601927073.046022,10601927083.046022,1,False,1077644446.49,,52,0,10496230782.91,1066900830.7303538,,2026-03-04T04:15:00.000Z,0.14495627081408027,111352130.80319579,111019243.51493372,332887.28826206765,-30.6348,0.11937959,1.35396646,-10.82143619,-0.35738151,-12.16612873,-20.79092792,1536815811.9515886,0.0465,1536815813.40603,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,LTC,2,Litecoin,litecoin,1510,2013-04-28T00:00:00.000Z,mineable|pow|scrypt|medium-of-exchange|privacy|layer-1|2017-2018-alt-season|made-in-america|binance-ecosystem|binance-listing,84000000.0,76911876.98347135,84000000.0,1,False,4592756626.07,,22,0,,,,2026-03-04T04:15:00.000Z,77.97232275428372,514727990.9606026,513948325.6692069,779665.2913955448,-8.912,-0.64450227,1.09648962,4.13705956,-5.07642903,-33.71220886,-36.49335359,5996997695.792994,0.1812,6549675111.358909,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,BCH,1831,Bitcoin Cash,bitcoin-cash,1140,2017-07-23T00:00:00.000Z,mineable|pow|sha-256|marketplace|medium-of-exchange|store-of-value|enterprise-solutions|payments|layer-1|2017-2018-alt-season|made-in-america|binance-ecosystem|binance-listing,21000000.0,20002471.875,20002471.875,1,False,8850528951.23,,11,0,,,,2026-03-04T04:15:00.000Z,631.0036684406641,457234012.663979,454482739.68761134,2751272.9763676086,-20.446,-0.16462896,-0.32374471,-11.37505072,-12.53142752,-29.40866862,-25.40281359,12621633131.00621,0.3817,13251077037.258402,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,UNI,7083,Uniswap,uniswap,1411,2020-09-17T00:00:00.000Z,decentralized-exchange-dex-token|defi|dao|ethereum-ecosystem|yield-farming|amm|coinbase-ventures-portfolio|three-arrows-capital-portfolio|governance|heco-ecosystem|avalanche-ecosystem|solana-ecosystem|blockchain-capital-portfolio|defiance-capital-portfolio|alameda-research-portfolio|a16z-portfolio|pantera-capital-portfolio|parafi-capital|paradigm-portfolio|polygon-ecosystem|terra-ecosystem|near-protocol-ecosystem|arbitrum-ecosystem|cmc-crypto-awards-2024|gnosis-chain-ecosystem|sora-ecosystem|hoo-smart-chain-ecosystem|made-in-america|binance-ecosystem|binance-listing|etherlink-ecosystem|unichain-ecosystem,,633795562.7465303,898430420.0366303,1,False,3509091562.89,,34,0,,,0.80546348,2026-03-04T04:16:00.000Z,5.570017729959233,379953207.95675504,377160959.3538393,2792248.6029157885,-11.251,-1.14488175,0.02037844,12.35436883,2.86605677,-35.36399194,-36.52661909,3530252521.6676626,0.1068,5004273368.73867,4382883380.098533,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,NEAR,6535,NEAR Protocol,near-protocol,621,2020-08-11T00:00:00.000Z,platform|ai-big-data|staking|coinbase-ventures-portfolio|three-arrows-capital-portfolio|arrington-xrp-capital-portfolio|coinfund-portfolio|electric-capital-portfolio|fabric-ventures-portfolio|kenetic-capital-portfolio|near-protocol-ecosystem|cross-chain|circle-ventures-portfolio|layer-1|alleged-sec-securities|modular-blockchain|account-abstraction|data-availability|cmc-crypto-yearbook-2024-2025|made-in-america|binance-ecosystem|binance-listing,,1289252866.0,1289252866.0,1,False,1776997124.13,,38,0,1209202633.0,1666662652.4548326,,2026-03-04T04:15:00.000Z,1.9655991012996787,749855084.7441962,749747791.5772992,107293.16689696108,-24.7307,-1.35310839,-2.01308186,39.8833632,18.40269329,-18.95410373,-26.3240189,2534154274.757635,0.0766,2534154274.756302,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,XLM,512,Stellar,stellar,807,2014-08-05T00:00:00.000Z,medium-of-exchange|enterprise-solutions|decentralized-exchange-dex-token|defi|smart-contracts|hashkey-capital-portfolio|real-world-assets-protocols|2017-2018-alt-season|made-in-america|binance-ecosystem|binance-listing|iso-20022,50001806812.0,32985091890.39495,50001786883.65895,1,False,7553247642.25,,19,0,31531408660.0,4763120539.513716,,2026-03-04T04:15:00.000Z,0.21542421771251213,170900335.64657465,170703558.77530503,196776.87126961068,-5.1795,-0.53570342,-1.20406194,-1.37330438,-11.98140219,-33.24961215,-41.14022649,7105787616.66366,0.2149,10771600116.693542,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
2026-03-04 15:17:25.859452,ATOM,3794,Cosmos,cosmos,962,2019-03-14T00:00:00.000Z,platform|cosmos-ecosystem|communications-social-media|content-creation|defi|interoperability|ethereum-ecosystem|polychain-capital-portfolio|dragonfly-capital-portfolio|hashkey-capital-portfolio|1confirmation-portfolio|paradigm-portfolio|exnetwork-capital-portfolio|polygon-ecosystem|cronos-ecosystem|injective-ecosystem|canto-ecosystem|osmosis-ecosystem|alleged-sec-securities|binance-ecosystem|binance-listing,,496027140.0,496027140.0,1,True,903503830.42,,58,0,,,,2026-03-04T04:15:00.000Z,2.5975916771822063,90471899.33154452,89611766.41084363,860132.9207009161,4.075,-0.50352733,-1.22898651,-11.47883543,-4.41774056,-18.233438,-22.96967725,1288475970.5204933,0.039,1288475970.515996,,2026-03-04T04:16:04.000Z,8717,37181,116625,924,11870,10.204196610038,58.482463706062,10.36719036,58.42449755,-0.162993749962,0.057966156062,10974994536.52728,34524095495.445145,57157748549.36966,-6.987737643132,113795314423.37778,654108249230.3408,287344319485.56274,-12.207149573427,1081072494741.1342,1118700706503.7598,3.918835860764,36775057,1,167385,988856,4727413,8.4296337e-05,2026-03-04T04:14:59.999Z
